NUM;ID;YEAR;MONTH;DAY;HOUR;MINUTE;SECOND;DATE;DAT
E_HOUR;EVENT_VALIDITY;CAUSE_CODE;FOCAL_DEPTH;PRIMARY_MAGNITUDE;COUNTRY;STATE;LOCATION_NAME;LATITUDE;LONGITUDE;REGION_CODE;MAXIMUM_WATER_HEIGHT;ABE;IIDA;SOLOVIEV;WARNING_STATUS;DEATHS;DEATHS_DESCRIPTION;MISSING;MISSING_DESCRIPTION;INJURIES;INJURIES_DESCRIPTION;DAMAGE_MILLIONS_DOLLARS;DAMAGE_DESCRIPTION;HOUSES_DESTROYED;HOUSES_DESTROYED_DESCRIPTION;HOUSES_DAMAGED;HOUSES_DAMAGED_DESCRIPTION;TOTAL_DEATHS;TOTAL_DEATHS_DESCRIPTION;TOTAL_MISSING;TOTAL_MISSING_DESCRIPTION;TOTAL_INJURIES;TOTAL_INJURIES_DESCRIPTION;TOTAL_DAMAGE_MILLIONS_DOLLARS;TOTAL_DAMAGE_DESCRIPTION;TOTAL_HOUSES_DESTROYED;TOTAL_HOUSES_DESTROYED_DESCRIPTION;TOTAL_HOUSES_DAMAGED;TOTAL_HOUSES_DAMAGED_DESCRIPTION
75;T86;881;4;8;;;;881/4/8;;2;0;;;ISRAEL;;ISRAEL AND EGYPTIAN COASTS;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4282;T87;881;6;10;;;;881/6/10;;0;1;;;SPAIN;;CADIZ;36;-8;73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;T88;887;8;2;;;;887/8/2;;3;1;;6,5;JAPAN;;NIIGATA;37,5;138,1;85;;;2;1;;2000;4;;;;;;;;;;;2000;4;;;;;;;;;;
77;T89;887;8;26;;;;887/8/26;;4;1;;8,6;JAPAN;;NANKAIDO;33;135,3;85;;;3;3;;;3;;;;;;3;;;;;;3;;;;;;3;;;;
5283;T90;900;;;;;;;;1;0;;;INDIA;;NAGAPATTINAM;10,46;79,53;60;;;;;;200;3;;;;;;3;;2;;;200;3;;;;;;3;;2;;
79;T91;922;;;;;;;;4;1;;7;JAPAN;;KUMANONADA;33,8;136,7;85;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
80;T92;957;4;4;;;;957/4/4;;1;1;;;IRAN;;PERSIAN GULF OR CASPIAN SEA;;;40;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
3429;T93;963;7;22;;;;963/7/22;;3;1;;;ITALY;;SICILY;38;15;50;;;;5;;;4;;;;;;;;;;;;4;;;;;;;;;;
81;T94;975;10;26;;;;975/10/26;;2;0;;;TURKEY;;MARMARA SEA, STRAIT OF BOSPORUS;41,04;28,98;50;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
3430;T95;986;10;26;;;;986/10/26;;3;1;;7,5;TURKEY;;MARMARA SEA;40,8;29,2;50;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
82;T96;991;4;5;;;;991/4/5;;1;1;;;SYRIA;;SYRIAN COASTS;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3562;T97;1008;4;11;;;;1008/4/11;;2;1;;6,5;IRAN;;PERSIAN GULF;27,665;52,348;30;;;;;;;3;;;;;;1;;;;;16000;4;;;;;;4;;;;
83;T98;1026;6;16;;;;1026/6/16;;3;1;;7,5;JAPAN;;OFF MASUDA, SHIMANE PREFECTURE;34,8;131,8;85;10;;3,3;3;;1001;4;;;;;;4;3000;4;;;1001;4;;;;;;3;3000;4;;
84;T99;1033;12;5;;;;1033/12/5;;4;1;;;SYRIA;;AKKO;33;35;50;;;;4;;;2;;;;;;;;;;;70000;4;;;;;;3;;3;;
87;T100;1039;2;2;;;;1039/2/2;;1;1;;6,8;TURKEY;;CONSTANTINOPLE;38,4;27,3;50;;;;;;;;;;;;;;;;;;;3;;;;;;3;;3;;
3102;T101;1050;;;;;;;;3;6;;;GREECE;;ISLAND OF THIRA;36,404;25,396;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3103;T102;1065;9;23;;;;1065/9/23;;3;1;;;TURKEY;;MARMARA SEA;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;T103;1068;3;18;;;;1068/3/18;;3;1;;;ISRAEL;;GULF OF AQABA;29,5;34,95;30;;;;4;;;3;;;;;;3;;;;;;3;;;;;;4;;4;;
91;T104;1076;10;31;;;;1076/10/31;;1;0;;;CHINA;;GUANGDONG PROVINCE, SOUTH CHINA SEA;23;117;84;;;;1;;;1;;;;;;1;;1;;;;1;;;;;;1;;1;;
5500;T105;1088;5;13;;;;1088/5/13;;3;1;;;JAPAN;;MIYAKO, IWATE PREFECTURE;39,64;141,96;85;;;;1,5;;;;;;;;;;;;;;;;;;;;;;;;;
93;T106;1088;6;10;;;;1088/6/10;;4;1;;7;JAPAN;;MIYAKO, IWATE PREFECTURE;40,5;143;85;;;1;1,5;;;;;;;;;;;;;;;;;;;;;;;;;
95;T107;1092;9;13;;;;1092/9/13;;-1;9;;;JAPAN;;TERADOMARI, NIIGARA PREFECTURE;;;85;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;
96;T108;1096;12;17;;;;1096/12/17;;4;1;;8,4;JAPAN;;ENSHUNADA;34;137,5;85;7;;2,5;2;;;;;;;;;2;400;2;;;;;;;;;;2;400;3;;
2992;T109;1099;2;22;;;;1099/2/22;;4;1;;8,4;JAPAN;;NANKAIDO;33;135,5;85;;;2,5;;;;;;;;;;1;;;;;;;;;;;;1;;;;
97;T110;1099;11;11;;;;1099/11/11;;1;0;;;United Kingdom;;WEST CORNWALL, ENGLAND;50,116;-5,483;73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;T111;1106;3;;;;;;;-1;1;;;ITALY;;MALAMOCCO;45,5;12,3;50;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
