ID;DATE;COUNTRY
T1051;1870/4/29;NEW ZEALAND
T1052;1870/5/11;MEXICO
T1053;1870/6/24;EGYPT
T1054;1870/7/29;CROATIA
T1055;1870/8/1;GREECE
T1056;1870/8/6;CROATIA
T1057;1870/8/12;AUSTRALIA
T1058;1870/10/28;ITALY
T1059;1870/11/2;ITALY
T1060;1871/1/17;ITALY
T1061;1871/2/5;PERU
T1062;1871/2/7;MEXICO
T1063;1871/2/18;United States
T1064;1871/2/20;United States
T1065;1871/3/3;INDONESIA
T1066;1871/3/25;CHILE
T1068;1871/4/30;PHILIPPINES
T1069;1871/6/18;United States
T1070;1871/8/20;CHILE
T1071;1871/8/21;PERU
T1072;1871/8/25;INDONESIA
T1074;1871/9/7;FRANCE
T1075;1871/10/5;CHILE
T1076;1871/10/5;GREECE
T1077;1871/12/28;CHILE
T1078;1872/1/10;PERU
T1079;1872/1/13;United States
T1080;1872/1/22;United States
T1081;1872/1/26;PHILIPPINES
T1082;1872/3/14;JAPAN
T1083;1872/3/26;United States
T1084;1872/8/23;United States
T1085;1872/8/27;United States
T1086;1872/9/16;United States
T1087;1872/11/17;United States
T1090;1873/7/7;CHILE
T1091;1873/10/13;PANAMA
T1092;1873/10/25;GREECE
T1093;1873/11/19;CHILE
T1094;1873/11/23;United States
T1096;1874/3/11;United States
T1100;1875/2/23;MEXICO
T1101;1875/3/18;ITALY
T1102;1875/3/28;NEW CALEDONIA
T1103;1875/5/10;VANUATU
T1104;1875/10/12;United States
T1106;1876/5/28;INDONESIA
T1107;1876/10/26;JAPAN
T1108;1876/12/23;ITALY
T1110;1877/2/2;United States
T1111;1877/2/24;United States
T1112;1877/4/16;United States
T1113;1877/5/4;United States
T1114;1877/5/10;CHILE
T1115;1877/5/14;PERU
T1116;1877/5/15;CHILE
T1117;1877/6/15;CHILE
T1118;1877/8/23;CHILE
T1119;1877/9/2;CHILE
T1120;1877/10/9;CHILE
T1121;1877/10/11;COLOMBIA
T1122;1877/12/1;NEW ZEALAND
T1123;1878/1/10;VANUATU
T1124;1878/1/14;United States
T1125;1878/1/20;United States
T1126;1878/1/23;CHILE
T1127;1878/1/27;PERU
T1128;1878/1/28;CHILE
T1129;1878/2/3;CHILE
T1130;1878/2/4;PAPUA NEW GUINEA
T1131;1878/2/4;PERU
T1132;1878/2/11;VANUATU
T1133;1878/2/14;CHILE
T1134;1878/3/12;CHILE
T1135;1878/4/12;CHILE
T1136;1878/4/19;TURKEY
T1137;1878/6/12;CHILE
T1138;1878/6/30;CHILE
T1139;1878/8/29;United States
T1142;1878/9/30;CHILE
T1143;1878/10/11;RUSSIA
T1144;1878/11/22;United States
T1145;1878/11/23;CHILE
T1146;1879/2/4;ITALY
T1147;1879/4/27;NEW ZEALAND
T1148;1879/7/11;EGYPT
T1149;1879/7/29;CROATIA
T1150;1879/8/8;CHILE
T1151;1879/8/10;United States
T1153;1880/4/14;NORWAY
T1154;1880/4/26;ITALY
T1155;1880/7/18;PHILIPPINES
T1156;1880/8/15;CHILE
T1157;1880/9/2;GREECE
T1158;1880/9/8;NEW ZEALAND
T1159;1880/9/29;United States
T1160;1880/10/26;United States
T1162;1881/4/3;GREECE
T1163;1881/4/11;GREECE
T1164;1881/6/29;NEW ZEALAND
T1165;1881/7/12;FIJI
T1166;1881/7/14;CHILE
T1167;1881/8/12;JAMAICA
T1168;1881/10/25;JAPAN
T1169;1881/10/27;CHILE
T1170;1881/11/24;TONGA
T1171;1881/12/15;GREECE
T1172;1881/12/31;INDIA
T1174;1882/2/23;CHILE
T1175;1882/4/13;NEW ZEALAND
T1176;1882/9/7;PANAMA
T1177;1882/9/14;CHILE
T1178;1882/10/10;INDONESIA
T1179;1882/12/9;TAIWAN
T1181;1883/3/12;MEXICO
T1182;1883/3/24;SAMOA
T1183;1883/5/20;INDONESIA
T1184;1883/5/31;INDONESIA
T1185;1883/6/27;GREECE
T1186;1883/8/27;INDONESIA
T1187;1883/10/6;United States
T1188;1883/10/10;INDONESIA
T1189;1884/1/14;URUGUAY
T1190;1884/1/25;United States
T1193;1884/7/20;ERITREA
T1194;1884/8/10;United States
T1195;1884/9/19;United States
T1196;1884/11/5;PANAMA
T1197;1884/11/12;United States
T1198;1884/11/15;JAPAN
T1199;1884/12/21;United States
T1200;1885/1/16;FRANCE
T1201;1885/1/29;ALGERIA
T1202;1885/4/30;INDONESIA
T1203;1885/7/29;INDONESIA
T1204;1885/8/3;INDONESIA
T1205;1885/11/12;CHILE
T1206;1885/11/19;United States
T1207;1885/11/24;United States
T1208;1885/12/14;INDONESIA
T1209;1886/1/31;INDONESIA
T1210;1886/8/27;GREECE
T1211;1886/8/29;CHILE
T1212;1886/9/1;United States
T1215;1887/2/2;PHILIPPINES
T1216;1887/2/5;United States
